measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
2011 Jun 14,145.73,65.09,13600,9480
2011 Jun 15,146.69,64.46,12800,11600
2011 Jun 16,146.53,64.74,12600,12700
2011 Jun 17,145.70,65.14,15500,16000
2011 Jun 18,145.70,65.62,15500,15200
2011 Jun 19,145.91,64.94,18300,18500
2011 Jun 20,145.94,64.73,18000,18300
2011 Jun 21,145.73,65.03,16300,18000
2011 Jun 22,145.59,65.56,16000,18500
2011 Jun 23,147.55,65.02,39000,18300
2011 Jun 24,147.64,64.96,39000,18200
2011 Jun 25,149.66,68.26,29600,27900
2011 Jun 26,149.75,68.42,27000,27900
2011 Jun 27,148.36,68.24,19500,28000
2011 Jun 28,147.30,67.98,18700,25100
2011 Jun 29,147.41,66.98,18000,19500
2011 Jun 30,147.44,67.24,17800,18800
2011 Jul 01,146.41,67.12,15800,20000
2011 Jul 02,146.47,66.24,15600,16200
2011 Jul 03,146.00,66.14,14800,16400
2011 Jul 04,145.73,65.54,15400,16200
2011 Jul 05,145.14,64.88,16500,16700
2011 Jul 06,145.24,65.42,22600,19400
2011 Jul 07,145.72,68.00,30000,28400
2011 Jul 08,145.88,68.22,36000,21900
2011 Jul 09,148.42,67.68,31700,24000
2011 Jul 10,148.42,67.56,21700,24900
2011 Jul 11,148.46,67.60,20700,23100
2011 Jul 12,147.47,66.87,16000,19700
2011 Jul 13,147.17,65.17,15500,17400
2011 Jul 14,146.59,65.34,15200,17900
2011 Jul 15,146.13,65.72,15600,17700
2011 Jul 16,146.16,64.84,15200,15300
2011 Jul 17,145.98,65.27,15600,16300
2011 Jul 18,145.59,66.04,16500,17800
2011 Jul 19,145.37,65.02,18200,18500
2011 Jul 20,145.44,65.14,18700,17600
2011 Jul 21,145.74,64.94,19500,18400
2011 Jul 22,146.18,64.90,20500,18300
2011 Jul 23,146.23,64.86,20500,17300
2011 Jul 24,146.56,65.40,19500,18800
2011 Jul 25,146.75,65.06,18500,21300
2011 Jul 26,146.85,64.88,18500,18100
2011 Jul 27,,,,
2011 Jul 28,,,,
2011 Jul 29,,,,
2011 Jul 30,,,,
2011 Jul 31,,,,
2011 Aug 01,,,,
2011 Aug 02,,,,
2011 Aug 03,,,,
2011 Aug 04,,,,
2011 Aug 05,,,,
2011 Aug 06,,,,
2011 Aug 07,,,,
2011 Aug 08,,,,
2011 Aug 09,,,,
2011 Aug 10,,,,
2011 Aug 11,,,,
2011 Aug 12,,,,
2011 Aug 13,,,,
2011 Aug 14,,,,
2011 Aug 15,,,,
2011 Aug 16,,,,
2011 Aug 17,,,,
2011 Aug 18,,,,
2011 Aug 19,,,,
2011 Aug 20,,,,
2011 Aug 21,,,,
2011 Aug 22,,,,
2011 Aug 23,,,,
2011 Aug 24,,,,
2011 Aug 25,,,,
2011 Aug 26,,,,
2011 Aug 27,,,,
2011 Aug 28,,,,
2011 Aug 29,,,,
2011 Aug 30,,,,
2011 Aug 31,,,,
2011 Sep 01,150.24,64.92,11800,10200
2011 Sep 02,150.39,65.06,11700,10200
2011 Sep 03,150.62,65.14,11700,10200
2011 Sep 04,150.91,64.92,12000,10100
2011 Sep 05,150.94,64.74,12000,9430
2011 Sep 06,151.29,65.14,11800,10100
2011 Sep 07,151.59,64.86,12600,9750
2011 Sep 08,151.75,64.68,13600,9510
2011 Sep 09,152.24,65.06,13500,9680
2011 Sep 10,152.92,64.76,15000,9700
2011 Sep 11,153.15,64.80,14500,9180
2011 Sep 12,153.73,65.20,11200,9790
2011 Sep 13,153.81,65.50,11220,9780
2011 Sep 14,154.62,65.74,22000,9930
2011 Sep 15,154.75,65.58,22000,9350
2011 Sep 16,159.41,64.88,23000,9790
2011 Sep 17,160.34,65.22,15800,9940
2011 Sep 18,160.86,64.17,15000,10300
2011 Sep 19,160.99,64.12,17000,9750
2011 Sep 20,163.02,66.92,45000,20800
2011 Sep 21,165.89,66.78,43500,20100
2011 Sep 22,167.78,66.96,30000,19800
2011 Sep 23,167.84,67.48,15500,19800
2011 Sep 24,167.22,66.25,12800,19800
2011 Sep 25,167.07,65.48,12000,18300
2011 Sep 26,166.59,65.04,10900,14700
2011 Sep 27,166.26,65.29,10800,11300
2011 Sep 28,166.17,64.06,10500,9500
2011 Sep 29,166.10,64.74,9700,10100
2011 Sep 30,166.13,64.88,9700,9230
2011 Oct 01,166.42,65.66,10800,7590
2011 Oct 02,167.16,65.68,16000,7550
2011 Oct 03,167.27,65.52,14500,7250
2011 Oct 04,168.44,64.78,13000,7410
2011 Oct 05,168.92,64.93,12000,7380
2011 Oct 06,169.25,65.08,11200,7430
2011 Oct 07,169.48,65.08,10200,7360
2011 Oct 08,169.71,64.98,10500,7350
2011 Oct 09,169.93,65.70,13000,7360
2011 Oct 10,170.21,66.07,10000,6910
2011 Oct 11,170.66,65.30,14000,7960
2011 Oct 12,170.79,65.14,17000,7000
2011 Oct 13,171.88,65.06,15000,7910
2011 Oct 14,172.73,64.68,14000,7930
2011 Oct 15,173.07,64.74,13800,8030
2011 Oct 16,173.55,64.88,12500,7980
2011 Oct 17,173.94,65.00,11800,8110
2011 Oct 18,174.18,65.20,10800,8940
2011 Oct 19,174.25,65.02,9800,8940
2011 Oct 20,174.33,65.42,9100,8960
2011 Oct 21,174.29,65.16,9200,8940
2011 Oct 22,174.25,65.27,8500,8540
2011 Oct 23,174.23,65.20,8500,8010
2011 Oct 24,174.46,65.10,9300,9010
2011 Oct 25,174.48,64.86,8200,7780
2011 Oct 26,174.45,64.66,8100,6950
2011 Oct 27,,,,
2011 Oct 28,,,,
2011 Oct 29,,,,
2011 Oct 30,,,,
2011 Oct 31,,,,
2011 Nov 01,175.09,65.04,8100,8260
2011 Nov 02,174.93,65.43,9700,11600
2011 Nov 03,174.77,64.90,9800,12000
2011 Nov 04,174.78,65.00,14000,13300
2011 Nov 05,174.73,64.89,17000,15800
2011 Nov 06,174.95,65.15,19800,17900
2011 Nov 07,175.01,67.14,19700,20700
2011 Nov 08,174.93,66.18,17300,19200
2011 Nov 09,174.95,64.92,17500,17800
2011 Nov 10,174.91,65.06,15600,17300
2011 Nov 11,174.60,65.28,13000,17400
2011 Nov 12,174.37,65.06,11500,15200
2011 Nov 13,174.29,64.58,10300,12100
2011 Nov 14,174.31,65.04,9400,9510
2011 Nov 15,174.32,64.95,9000,9040
2011 Nov 16,174.54,64.32,11800,8370
2011 Nov 17,174.76,64.82,10300,8810
2011 Nov 18,174.83,65.22,10500,10600
2011 Nov 19,174.88,65.16,9200,8700
2011 Nov 20,174.97,64.42,8900,8290
2011 Nov 21,174.99,64.60,8200,8810
2011 Nov 22,174.89,65.09,7800,9500
2011 Nov 23,174.63,65.00,7300,9600
2011 Nov 24,174.56,65.12,7000,8230
2011 Nov 25,174.46,64.94,7000,7170
2011 Nov 26,174.47,64.86,7000,6400
2011 Nov 27,174.44,64.70,6700,6210
2011 Nov 28,174.39,64.94,6400,6380
2011 Nov 29,174.30,64.72,6000,6630
2011 Nov 30,174.37,65.04,6500,5910
2011 Dec 01,174.58,64.86,6200,5420
2011 Dec 02,174.54,65.12,6200,5790
2011 Dec 03,174.51,65.10,6000,5540
2011 Dec 04,174.65,64.89,6300,5480
2011 Dec 05,174.75,64.62,6400,5560
2011 Dec 06,174.79,64.98,6600,5600
2011 Dec 07,174.92,64.46,6900,5500
2011 Dec 08,174.92,64.04,6500,6050
2011 Dec 09,174.75,63.64,6600,7250
2011 Dec 10,174.83,64.40,6100,5610
2011 Dec 11,174.86,64.98,5800,5620
2011 Dec 12,174.83,65.12,5700,6310
2011 Dec 13,174.76,64.58,5700,5350
2011 Dec 14,174.83,64.79,5600,5380
2011 Dec 15,174.80,64.70,5700,5630
2011 Dec 16,174.74,64.56,5700,6000
2011 Dec 17,174.75,65.00,5700,5470
2011 Dec 18,174.75,64.90,5700,5200
2011 Dec 19,174.78,65.10,5700,5450
2011 Dec 20,174.77,64.86,5800,5450
2011 Dec 21,174.82,64.50,5800,5430
2011 Dec 22,174.80,64.78,5700,5450
2011 Dec 23,174.82,64.68,5600,5440
2011 Dec 24,174.82,64.49,5900,5450
2011 Dec 25,174.85,64.64,6000,5440
2011 Dec 26,174.88,65.02,6100,5470
2011 Dec 27,174.93,65.29,6000,5450
2011 Dec 28,174.89,64.68,5700,5640
2011 Dec 29,174.84,64.48,5600,5640
2011 Dec 30,174.80,64.88,5400,5660
2011 Dec 31,174.74,65.02,5300,5840
2012 Jan 01,174.68,64.76,5000,5840
2012 Jan 02,174.58,65.18,5000,5850
2012 Jan 03,174.57,65.22,5200,5850
2012 Jan 04,174.57,65.10,5800,5860
2012 Jan 05,174.53,65.08,5300,6270
2012 Jan 06,174.46,64.71,5800,6230
2012 Jan 07,174.42,64.60,5300,6240
2012 Jan 08,174.32,64.66,5400,6260
2012 Jan 09,174.29,64.72,5550,5840
2012 Jan 10,174.22,64.86,5400,5840
2012 Jan 11,174.15,65.26,4900,5950
2012 Jan 12,174.10,65.18,5300,5850
2012 Jan 13,173.96,65.46,5000,5870
2012 Jan 14,173.85,65.91,5000,5930
2012 Jan 15,173.72,66.11,4600,5990
2012 Jan 16,173.53,64.92,4600,5880
2012 Jan 17,173.43,64.66,4500,5740
2012 Jan 18,173.30,64.80,4400,5740
2012 Jan 19,173.16,65.06,4500,5760
2012 Jan 20,173.04,65.15,4700,5780
2012 Jan 21,172.99,64.98,4900,5760
2012 Jan 22,172.94,64.80,5000,5690
2012 Jan 23,172.85,65.35,5200,5690
2012 Jan 24,172.81,65.30,5100,5720
2012 Jan 25,172.72,65.14,5100,5700
2012 Jan 26,172.64,65.02,5100,5720
2012 Jan 27,172.52,65.04,5000,5730
2012 Jan 28,172.47,65.04,4900,5720
2012 Jan 29,172.36,64.82,5200,5800
2012 Jan 30,172.30,65.03,5300,5770
2012 Jan 31,172.31,65.18,5400,5770
2012 Feb 01,172.22,65.06,5300,5760
2012 Feb 02,172.12,65.12,5000,5780
2012 Feb 03,171.98,65.30,4900,5790
2012 Feb 04,171.86,64.97,4700,5750
2012 Feb 05,171.79,64.66,4700,5730
2012 Feb 06,171.65,64.56,4600,5730
2012 Feb 07,171.45,64.92,4500,5800
2012 Feb 08,171.32,65.06,4400,5830
2012 Feb 09,171.17,64.66,4400,5790
2012 Feb 10,171.04,65.02,4600,5910
2012 Feb 11,170.85,64.84,4600,6530
2012 Feb 12,170.72,65.18,4600,5850
2012 Feb 13,170.59,64.98,4400,5850
2012 Feb 14,170.41,64.84,4900,6440
2012 Feb 15,170.25,64.60,4500,5990
2012 Feb 16,170.05,64.64,4100,5980
2012 Feb 17,169.81,65.24,4000,6050
2012 Feb 18,169.61,64.83,3800,5820
2012 Feb 19,169.41,64.92,4000,5830
2012 Feb 20,169.23,64.99,3700,5870
2012 Feb 21,169.03,64.97,3800,5870
2012 Feb 22,168.89,64.48,4200,5850
2012 Feb 23,168.64,64.67,4200,5890
2012 Feb 24,168.43,64.92,4200,5890
2012 Feb 25,168.26,64.52,4400,5870
2012 Feb 26,168.11,64.52,4200,5900
2012 Feb 27,167.95,65.10,4100,5920
2012 Feb 28,167.91,64.74,4100,5140
2012 Feb 29,167.70,64.44,4200,5130
2012 Mar 01,167.49,64.84,4500,5820
2012 Mar 02,167.30,65.08,4600,5840
2012 Mar 03,167.19,65.06,4700,5610
2012 Mar 04,167.12,64.86,4800,5610
2012 Mar 05,167.03,64.68,4700,5570
2012 Mar 06,166.92,64.98,4500,5770
2012 Mar 07,166.72,65.06,4500,6060
2012 Mar 08,166.60,64.88,4650,5610
2012 Mar 09,166.45,64.86,4700,5680
2012 Mar 10,166.33,64.86,4800,5670
2012 Mar 11,166.30,64.52,4800,4930
2012 Mar 12,166.12,64.72,4900,5650
2012 Mar 13,165.99,64.70,4900,5690
2012 Mar 14,165.86,64.76,4800,5670
2012 Mar 15,165.77,65.02,4700,5670
2012 Mar 16,165.63,64.90,4500,5690
2012 Mar 17,165.49,64.82,4400,5630
2012 Mar 18,165.27,64.96,4400,5650
2012 Mar 19,165.07,64.98,4500,5660
2012 Mar 20,164.87,64.80,4500,5650
2012 Mar 21,164.73,64.65,4600,5670
2012 Mar 22,164.70,64.67,5000,5630
2012 Mar 23,164.67,64.94,5000,5650
2012 Mar 24,164.53,64.92,5000,5650
2012 Mar 25,164.46,64.86,5000,5630
2012 Mar 26,164.43,65.00,5200,5640
2012 Mar 27,164.36,64.82,5000,5650
2012 Mar 28,164.25,64.41,4900,5590
2012 Mar 29,164.18,64.60,5200,5560
2012 Mar 30,164.11,64.72,5000,5540
2012 Mar 31,164.03,64.64,5000,5530
2012 Apr 01,163.98,64.80,5800,5570
2012 Apr 02,163.99,64.84,5900,5570
2012 Apr 03,163.93,64.76,5600,5560
2012 Apr 04,163.96,64.66,5600,5580
2012 Apr 05,163.99,64.46,5600,5560
2012 Apr 06,163.94,64.68,5800,5610
2012 Apr 07,163.85,64.88,5300,5670
2012 Apr 08,163.74,65.06,5200,5810
2012 Apr 09,163.72,64.81,5100,4900
2012 Apr 10,163.51,64.68,5100,5680
2012 Apr 11,163.42,64.84,5500,5700
2012 Apr 12,163.48,64.76,6600,5730
2012 Apr 13,163.61,65.06,6400,5710
2012 Apr 14,163.69,64.80,6500,5690
2012 Apr 15,163.72,64.46,5900,5670
2012 Apr 16,163.74,64.58,6000,5660
2012 Apr 17,163.76,64.66,5900,5670
2012 Apr 18,163.74,64.50,5900,4880
2012 Apr 19,163.78,64.94,5800,5680
2012 Apr 20,163.76,64.76,5900,5680
2012 Apr 21,163.69,64.82,6000,6450
2012 Apr 22,163.58,64.88,5800,6470
2012 Apr 23,163.43,65.08,6200,6480
2012 Apr 24,163.54,64.88,8000,7180
2012 Apr 25,163.50,64.74,6800,7170
2012 Apr 26,163.35,64.88,6200,7200
2012 Apr 27,163.26,64.72,6200,7190
2012 Apr 28,163.13,65.18,7000,7230
2012 Apr 29,163.02,64.88,6600,7210
2012 Apr 30,163.04,64.96,7800,7240
2012 May 01,163.98,64.80,5800,5570
2012 May 02,163.21,64.78,9400,7480
2012 May 03,162.99,65.77,9300,11500
2012 May 04,162.66,65.47,9500,12300
2012 May 05,162.32,64.73,9000,11800
2012 May 06,161.96,65.56,8500,11900
2012 May 07,161.41,64.70,9600,14300
2012 May 08,160.75,64.70,9500,15000
2012 May 09,160.29,64.85,9500,14200
2012 May 10,159.78,64.78,9500,14200
2012 May 11,158.88,65.42,10000,17100
2012 May 12,158.23,65.41,11500,17100
2012 May 13,158.17,64.34,16000,15500
2012 May 14,158.28,65.18,18000,18200
2012 May 15,158.37,64.68,16000,17400
2012 May 16,158.06,65.08,14900,18200
2012 May 17,157.54,64.88,13000,18300
2012 May 18,156.78,65.06,11800,18600
2012 May 19,156.26,64.60,11800,15700
2012 May 20,155.53,64.44,10800,16100
2012 May 21,154.84,64.88,12000,16500
2012 May 22,154.65,65.16,15800,17200
2012 May 23,154.26,64.64,15000,18900
2012 May 24,153.80,65.36,15400,19200
2012 May 25,153.34,65.90,14300,19400
2012 May 26,153.46,64.82,13500,13000
2012 May 27,153.78,64.50,13500,11200
2012 May 28,153.49,64.74,13000,16300
2012 May 29,153.54,64.66,13800,15000
2012 May 30,153.20,67.54,19500,23600
2012 May 31,152.86,67.62,18500,22700
2012 Jun 01,152.39,67.22,15000,18500
2012 Jun 02,151.74,66.89,14500,18000
2012 Jun 03,151.10,66.86,15000,16800
2012 Jun 04,150.53,66.86,19000,18600
2012 Jun 05,149.67,67.38,20000,23700
2012 Jun 06,148.86,67.52,18000,24300
2012 Jun 07,148.34,67.20,17000,21700
2012 Jun 08,147.56,66.66,16000,17400
2012 Jun 09,146.82,67.10,17000,18400
2012 Jun 10,146.14,66.92,15800,17100
2012 Jun 11,145.59,66.96,15800,19000
2012 Jun 12,145.45,65.22,15200,16500
2012 Jun 13,145.50,64.60,14200,12800
2012 Jun 14,145.37,65.06,13700,12900
2012 Jun 15,145.59,65.05,13600,12100
2012 Jun 16,145.74,64.54,13000,12000
2012 Jun 17,145.70,64.82,12200,12000
2012 Jun 18,145.64,64.78,11600,11900
2012 Jun 19,145.57,64.81,11800,11900
2012 Jun 20,145.47,64.48,12200,11800
2012 Jun 21,145.60,65.08,12600,11400
2012 Jun 22,145.75,64.86,12800,11300
2012 Jun 23,145.92,65.08,13400,11300
2012 Jun 24,146.22,65.06,15000,11300
2012 Jun 25,145.94,65.56,15300,18200
2012 Jun 26,145.59,64.94,16500,19300
2012 Jun 27,145.09,65.66,16500,19300
2012 Jun 28,145.51,65.34,16000,14100
2012 Jun 29,145.70,64.76,18000,14600
2012 Jun 30,145.26,67.24,23500,21700
2012 Jul 01,145.53,67.62,33000,27500
2012 Jul 02,146.19,69.14,41000,33500
2012 Jul 03,146.75,68.78,39500,35500
2012 Jul 04,146.84,68.76,39000,37000
2012 Jul 05,148.82,69.80,54000,40900
2012 Jul 06,150.53,69.64,55500,40600
2012 Jul 07,152.44,69.74,45300,40900
2012 Jul 08,152.49,69.60,37500,41400
2012 Jul 09,152.13,69.47,43000,41500
2012 Jul 10,152.49,70.58,49000,41400
2012 Jul 11,153.48,70.56,48000,41500
2012 Jul 12,154.93,70.54,55500,41600
2012 Jul 13,156.00,70.32,39500,40900
2012 Jul 14,158.30,68.38,34000,27700
2012 Jul 15,158.84,68.17,28500,27500
2012 Jul 16,158.77,68.44,26500,27600
2012 Jul 17,157.46,70.40,30500,38500
2012 Jul 18,156.33,70.26,35500,37400
2012 Jul 19,156.02,70.26,39000,39000
2012 Jul 20,156.34,70.36,42500,38900
2012 Jul 21,156.94,70.22,37500,38100
2012 Jul 22,156.74,70.30,35500,38400
2012 Jul 23,155.88,70.76,57500,43400
2012 Jul 24,158.04,71.07,71200,44100
2012 Jul 25,161.21,71.04,58500,43400
2012 Jul 26,162.87,70.89,47000,42700
2012 Jul 27,162.77,71.26,40500,45100
2012 Jul 28,161.98,71.22,37000,45100
2012 Jul 29,160.99,71.34,38000,45100
2012 Jul 30,160.11,71.48,38000,45700
2012 Jul 31,159.41,71.00,34500,43500
2012 Aug 01,160.20,69.78,32500,34200
2012 Aug 02,159.98,69.62,34000,33800
2012 Aug 03,159.89,69.56,33000,34000
2012 Aug 04,159.92,70.08,32000,37300
2012 Aug 05,158.53,69.02,25200,31700
2012 Aug 06,158.44,68.42,23000,27700
2012 Aug 07,158.21,68.50,24500,27800
2012 Aug 08,157.87,68.40,28300,28000
2012 Aug 09,157.98,68.44,28500,27900
2012 Aug 10,157.93,68.38,24500,27900
2012 Aug 11,157.37,68.54,22200,28300
2012 Aug 12,156.52,68.54,20200,28700
2012 Aug 13,155.19,68.74,18500,29400
2012 Aug 14,153.55,68.76,17300,30300
2012 Aug 15,152.04,68.04,17000,29100
2012 Aug 16,150.57,68.46,17600,28300
2012 Aug 17,149.52,68.30,21000,27700
2012 Aug 18,148.71,68.22,19800,27500
2012 Aug 19,147.99,68.08,22600,25300
2012 Aug 20,146.68,68.70,25000,30100
2012 Aug 21,145.92,68.64,25500,30000
2012 Aug 22,146.71,67.32,22500,32900
2012 Aug 23,147.73,66.49,20600,16600
2012 Aug 24,148.14,65.30,19200,18900
2012 Aug 25,148.26,65.52,17700,19200
2012 Aug 26,148.21,65.40,17000,19200
2012 Aug 27,148.05,65.04,18000,19100
2012 Aug 28,148.12,65.34,19400,19200
2012 Aug 29,148.34,65.21,19700,19200
2012 Aug 30,149.15,64.92,20800,16600
2012 Aug 31,149.61,64.44,20800,13000
2012 Sep 01,150.59,65.78,29000,19500
2012 Sep 02,152.73,67.26,44000,25200
2012 Sep 03,155.43,68.32,51500,26400
2012 Sep 04,158.62,68.26,41000,26400
2012 Sep 05,159.96,68.24,28000,26000
2012 Sep 06,159.98,68.22,24600,26000
2012 Sep 07,159.78,68.26,24300,26100
2012 Sep 08,159.65,67.92,22500,24700
2012 Sep 09,158.85,68.26,20000,26400
2012 Sep 10,159.18,67.42,21000,20600
2012 Sep 11,159.71,66.55,30000,19400
2012 Sep 12,162.23,65.40,40000,19200
2012 Sep 13,163.76,67.96,37000,24300
2012 Sep 14,165.12,67.84,30500,24000
2012 Sep 15,165.85,67.64,24500,22400
2012 Sep 16,166.11,67.62,21500,22300
2012 Sep 17,166.19,67.64,21800,21300
2012 Sep 18,166.19,67.66,22000,22600
2012 Sep 19,166.26,67.70,22800,22600
2012 Sep 20,166.32,67.80,21500,22600
2012 Sep 21,166.52,66.94,19000,19700
2012 Sep 22,166.75,65.04,19500,19400
2012 Sep 23,166.84,65.66,19000,19500
2012 Sep 24,166.91,65.08,19000,19400
2012 Sep 25,167.03,65.08,19000,19100
2012 Sep 26,167.08,65.08,18500,19100
2012 Sep 27,167.32,65.14,18000,17000
2012 Sep 28,167.75,65.06,19000,15100
2012 Sep 29,168.48,64.94,20300,13600
2012 Sep 30,169.18,65.32,19200,13800
2012 Oct 01,169.79,65.14,19700,13700
2012 Oct 02,170.56,65.18,20700,13700
2012 Oct 03,171.38,64.98,22700,13600
2012 Oct 04,171.97,65.37,22700,17000
2012 Oct 05,172.31,65.58,21500,18300
2012 Oct 06,172.66,65.30,22000,18800
2012 Oct 07,172.94,65.30,23200,19800
2012 Oct 08,173.36,64.95,22800,19700
2012 Oct 09,173.48,67.48,22500,21400
2012 Oct 10,173.51,67.44,21600,21400
2012 Oct 11,173.50,67.48,20500,21400
2012 Oct 12,173.37,66.28,14500,19900
2012 Oct 13,173.20,65.96,14600,18200
2012 Oct 14,172.85,65.38,14000,18200
2012 Oct 15,172.50,65.42,14200,18200
2012 Oct 16,172.67,65.06,14500,14200
2012 Oct 17,172.39,65.32,14500,15500
2012 Oct 18,172.55,65.34,17200,15500
2012 Oct 19,173.00,65.10,16500,13500
2012 Oct 20,173.24,65.12,14900,13500
2012 Oct 21,173.43,65.12,14000,13400
2012 Oct 22,173.48,64.88,13600,14100
2012 Oct 23,173.66,64.72,13200,12000
2012 Oct 24,173.94,65.18,12800,11200
2012 Oct 25,174.03,65.16,11800,11200
2012 Oct 26,174.16,65.08,11600,11200
2012 Oct 27,174.41,64.96,11800,8620
2012 Oct 28,174.80,64.95,11100,6600
2012 Oct 29,174.82,65.15,11100,8590
2012 Oct 30,174.87,66.18,10400,12900
2012 Oct 31,174.72,65.66,10100,12900
2012 Nov 01,174.49,65.10,9500,12800
2012 Nov 02,174.30,65.36,9800,12900
2012 Nov 03,174.35,65.06,9100,10100
2012 Nov 04,174.35,65.26,9300,10200
2012 Nov 05,174.23,65.32,8500,10600
2012 Nov 06,174.21,65.10,8600,10900
2012 Nov 07,174.27,65.06,9100,10200
2012 Nov 08,174.31,65.33,9800,10500
2012 Nov 09,174.33,65.60,9600,11200
2012 Nov 10,174.34,65.47,9500,11200
2012 Nov 11,174.29,65.02,9300,11200
2012 Nov 12,174.25,64.94,8500,11200
2012 Nov 13,174.13,65.11,8400,10500
2012 Nov 14,174.07,65.04,8100,9880
2012 Nov 15,174.05,63.92,8000,9100
2012 Nov 16,174.12,64.45,7200,7740
2012 Nov 17,174.12,64.93,6500,7050
2012 Nov 18,174.08,64.89,5600,7040
2012 Nov 19,173.98,65.24,5200,7070
2012 Nov 20,173.94,65.84,5100,6300
2012 Nov 21,173.88,65.35,5500,6350
2012 Nov 22,173.94,65.49,5900,6240
2012 Nov 23,,,,
2012 Nov 24,,,,
2012 Nov 25,,,,
2012 Nov 26,,,,
2012 Nov 27,,,,
2012 Nov 28,,,,
2012 Nov 29,,,,
2012 Nov 30,,,,
2012 Dec 01,174.07,65.55,5800,6220
2012 Dec 02,174.06,65.21,5700,6230
2012 Dec 03,174.06,65.21,5700,6210
2012 Dec 04,174.08,65.52,5700,6210
2012 Dec 05,174.14,65.78,5800,6230
2012 Dec 06,174.21,65.90,5800,6230
2012 Dec 07,174.16,66.04,5400,6240
2012 Dec 08,174.10,65.14,5400,6210
2012 Dec 09,174.02,65.30,5200,6200
2012 Dec 10,174.02,65.30,5200,6200
2012 Dec 11,173.98,64.96,5400,6190
2012 Dec 12,173.93,64.91,5500,6190
2012 Dec 13,174.03,65.01,5600,6100
2012 Dec 14,174.02,65.20,5700,6200
2012 Dec 15,174.04,65.29,6000,6210
2012 Dec 16,174.04,65.35,6000,6220
2012 Dec 17,174.08,65.24,6100,6210
2012 Dec 18,174.16,65.06,6500,6190
2012 Dec 19,174.21,64.96,6000,6190
2012 Dec 20,174.31,64.94,6300,6180
2012 Dec 21,174.39,64.74,6400,6160
2012 Dec 22,174.42,64.59,6300,6150
2012 Dec 23,174.51,64.55,6100,6140
2012 Dec 24,174.46,65.59,6000,6210
2012 Dec 25,174.26,64.70,6200,5800
2012 Dec 26,174.17,64.61,6200,8350
2012 Dec 27,174.11,64.64,6200,8360
2012 Dec 28,173.99,64.61,6300,8370
2012 Dec 29,173.91,64.68,6100,8370
2012 Dec 30,173.78,64.69,6000,8370
2012 Dec 31,173.61,64.89,5800,8390
2013 Jan 01,173.48,65.38,5700,7380
2013 Jan 02,173.35,64.70,5500,7360
2013 Jan 03,173.29,64.83,5600,7360
2013 Jan 04,173.28,64.83,5700,7360
2013 Jan 05,173.25,65.17,5600,7390
2013 Jan 06,173.21,65.15,5600,7390
2013 Jan 07,173.17,64.83,5500,7370
